full_name,team_logo_espn,first_td_times,first_td_rush,first_td_pass,teamTDperc,season,offense
James White,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,1,0,1,0.09090909090909091,2019,NE
James White,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,1,0,1,0.125,2020,NE
James White,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,1,1,0,0.1111111111111111,2021,NE
Jameson Williams,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,1,0,1,0.09090909090909091,2022,DET
Jamison Crowder,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,1,0,1,0.16666666666666666,2020,NYJ
Jared Goff,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,1,1,0,0.1111111111111111,2020,LA
Jaret Patterson,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,1,1,0,0.2,2021,WAS
Jauan Jennings,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,1,0,1,0.1,2021,SF
Jauan Jennings,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,1,0,1,0.08333333333333333,2022,SF
Jaxon Smith-Njigba,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,1,0,1,0.14285714285714285,2023,SEA
Jaylen Waddle,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,1,0,1,0.16666666666666666,2022,MIA
Jaylen Waddle,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,1,0,1,0.14285714285714285,2023,MIA
Jeff Wilson,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,1,1,0,0.09090909090909091,2019,SF
Jeffery Wilson,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,1,1,0,0.1,2021,SF
Jeffery Wilson,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,1,1,0,0.08333333333333333,2022,SF
Jelani Woods,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,1,0,1,0.25,2022,IND
Jerick McKinnon,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,1,0,1,0.125,2023,KC
Jerick McKinnon,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,1,1,0,0.09090909090909091,2020,SF
Jesper Horsted,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,1,0,1,0.1111111111111111,2021,CHI
Jesse James,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,1,0,1,0.1111111111111111,2021,CHI
Jessie Bates,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,1,0,0,0.14285714285714285,2023,ATL
Jimmy Graham,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,1,0,1,0.125,2020,CHI
Jimmy Graham,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,1,0,1,0.09090909090909091,2019,GB
Jimmy Graham,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,1,0,1,0.2,2023,NO
JoJo Domann,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,1,0,0,0.25,2022,IND
Joe Burrow,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,1,1,0,0.14285714285714285,2021,CIN
Joe Burrow,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,1,1,0,0.09090909090909091,2022,CIN
Joe Haden,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,1,0,0,0.1,2020,PIT
Joe Mixon,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,1,1,0,0.14285714285714285,2021,CIN
Joe Mixon,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,1,1,0,0.14285714285714285,2023,CIN
Joe Reed,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,1,1,0,0.125,2020,LAC
John Brown,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,1,0,1,0.125,2019,BUF
John Ross,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,1,0,1,0.16666666666666666,2021,NYG
Jonathan Taylor,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,1,1,0,0.25,2022,IND
Jonathan Ward,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,1,0,1,0.1111111111111111,2020,ARI
